,Unnamed: 0,Año,Trimestre,Provincia,Accesos por cada 100 hogares
0,0,2022,4,Buenos Aires,"78,94"
1,1,2022,4,Capital Federal,"122,73"
2,2,2022,4,Catamarca,"65,77"
3,3,2022,4,Chaco,"43,62"
4,4,2022,4,Chubut,"85,57"
5,5,2022,4,Córdoba,"89,03"
6,6,2022,4,Corrientes,"51,64"
7,7,2022,4,Entre Ríos,"64,01"
8,8,2022,4,Formosa,"39,41"
9,9,2022,4,Jujuy,"58,46"
10,10,2022,4,La Pampa,"94,80"
11,11,2022,4,La Rioja,"79,86"
12,12,2022,4,Mendoza,"51,36"
13,13,2022,4,Misiones,"52,85"
14,14,2022,4,Neuquén,"78,67"
15,15,2022,4,Río Negro,"68,42"
16,16,2022,4,Salta,"57,96"
17,17,2022,4,San Juan,"50,88"
18,18,2022,4,San Luis,"90,27"
19,19,2022,4,Santa Cruz,"43,53"
20,20,2022,4,Santa Fe,"78,40"
21,21,2022,4,Santiago Del Estero,"48,05"
22,22,2022,4,Tierra Del Fuego,"101,44"
23,23,2022,4,Tucumán,"61,04"
24,24,2022,3,Buenos Aires,"78,11"
25,25,2022,3,Capital Federal,"122,28"
26,26,2022,3,Catamarca,"65,33"
27,27,2022,3,Chaco,"43,86"
28,28,2022,3,Chubut,"84,38"
29,29,2022,3,Córdoba,"88,31"
30,30,2022,3,Corrientes,"48,21"
31,31,2022,3,Entre Ríos,"63,67"
32,32,2022,3,Formosa,"43,76"
33,33,2022,3,Jujuy,"58,91"
34,34,2022,3,La Pampa,"96,59"
35,35,2022,3,La Rioja,"80,66"
36,36,2022,3,Mendoza,"51,03"
37,37,2022,3,Misiones,"51,82"
38,38,2022,3,Neuquén,"80,37"
39,39,2022,3,Río Negro,"67,98"
40,40,2022,3,Salta,"57,76"
41,41,2022,3,San Juan,"50,80"
42,42,2022,3,San Luis,"81,74"
43,43,2022,3,Santa Cruz,"43,19"
44,44,2022,3,Santa Fe,"78,55"
45,45,2022,3,Santiago Del Estero,"47,98"
46,46,2022,3,Tierra Del Fuego,"99,51"
47,47,2022,3,Tucumán,"61,14"
48,48,2022,2,Buenos Aires,"77,58"
49,49,2022,2,Capital Federal,"121,31"
50,50,2022,2,Catamarca,"62,40"
51,51,2022,2,Chaco,"43,79"
52,52,2022,2,Chubut,"83,19"
53,53,2022,2,Córdoba,"87,48"
54,54,2022,2,Corrientes,"48,35"
55,55,2022,2,Entre Ríos,"63,90"
56,56,2022,2,Formosa,"43,42"
57,57,2022,2,Jujuy,"57,32"
58,58,2022,2,La Pampa,"92,98"
59,59,2022,2,La Rioja,"80,14"
60,60,2022,2,Mendoza,"49,39"
61,61,2022,2,Misiones,"51,00"
62,62,2022,2,Neuquén,"80,02"
63,63,2022,2,Río Negro,"67,85"
64,64,2022,2,Salta,"57,54"
65,65,2022,2,San Juan,"49,46"
66,66,2022,2,San Luis,"81,76"
67,67,2022,2,Santa Cruz,"43,15"
68,68,2022,2,Santa Fe,"77,90"
69,69,2022,2,Santiago Del Estero,"47,70"
70,70,2022,2,Tierra Del Fuego,"99,86"
71,71,2022,2,Tucumán,"59,31"
72,72,2022,1,Buenos Aires,"76,08"
73,73,2022,1,Capital Federal,"111,80"
74,74,2022,1,Catamarca,"58,21"
75,75,2022,1,Chaco,"44,06"
76,76,2022,1,Chubut,"88,05"
77,77,2022,1,Córdoba,"85,76"
78,78,2022,1,Corrientes,"47,64"
79,79,2022,1,Entre Ríos,"63,70"
80,80,2022,1,Formosa,"34,96"
81,81,2022,1,Jujuy,"58,06"
82,82,2022,1,La Pampa,"91,66"
83,83,2022,1,La Rioja,"78,77"
84,84,2022,1,Mendoza,"48,74"
85,85,2022,1,Misiones,"49,04"
86,86,2022,1,Neuquén,"74,17"
87,87,2022,1,Río Negro,"67,04"
88,88,2022,1,Salta,"56,11"
89,89,2022,1,San Juan,"43,55"
90,90,2022,1,San Luis,"80,72"
91,91,2022,1,Santa Cruz,"43,34"
92,92,2022,1,Santa Fe,"77,30"
93,93,2022,1,Santiago Del Estero,"47,17"
94,94,2022,1,Tierra Del Fuego,"98,29"
95,95,2022,1,Tucumán,"57,39"
96,96,2021,4,Buenos Aires,"75,66"
97,97,2021,4,Capital Federal,"111,27"
98,98,2021,4,Catamarca,"55,25"
99,99,2021,4,Chaco,"44,05"
100,100,2021,4,Chubut,"82,57"
101,101,2021,4,Córdoba,"84,51"
102,102,2021,4,Corrientes,"45,51"
103,103,2021,4,Entre Ríos,"63,16"
104,104,2021,4,Formosa,"34,45"
105,105,2021,4,Jujuy,"56,92"
106,106,2021,4,La Pampa,"89,57"
107,107,2021,4,La Rioja,"77,92"
108,108,2021,4,Mendoza,"47,51"
109,109,2021,4,Misiones,"49,06"
110,110,2021,4,Neuquén,"73,30"
111,111,2021,4,Río Negro,"65,69"
112,112,2021,4,Salta,"56,81"
113,113,2021,4,San Juan,"39,59"
114,114,2021,4,San Luis,"80,30"
115,115,2021,4,Santa Cruz,"43,05"
116,116,2021,4,Santa Fe,"77,09"
117,117,2021,4,Santiago Del Estero,"47,05"
118,118,2021,4,Tierra Del Fuego,"98,40"
119,119,2021,4,Tucumán,"55,93"
120,120,2021,3,Buenos Aires,"71,68"
121,121,2021,3,Capital Federal,"111,27"
122,122,2021,3,Catamarca,"52,71"
123,123,2021,3,Chaco,"42,96"
124,124,2021,3,Chubut,"80,71"
125,125,2021,3,Córdoba,"81,28"
126,126,2021,3,Corrientes,"44,90"
127,127,2021,3,Entre Ríos,"62,18"
128,128,2021,3,Formosa,"33,96"
129,129,2021,3,Jujuy,"55,69"
130,130,2021,3,La Pampa,"84,28"
131,131,2021,3,La Rioja,"77,26"
132,132,2021,3,Mendoza,"45,55"
133,133,2021,3,Misiones,"45,57"
134,134,2021,3,Neuquén,"69,71"
135,135,2021,3,Río Negro,"61,97"
136,136,2021,3,Salta,"55,96"
137,137,2021,3,San Juan,"39,46"
138,138,2021,3,San Luis,"79,87"
139,139,2021,3,Santa Cruz,"43,75"
140,140,2021,3,Santa Fe,"75,02"
141,141,2021,3,Santiago Del Estero,"47,00"
142,142,2021,3,Tierra Del Fuego,"94,95"
143,143,2021,3,Tucumán,"54,64"
144,144,2021,2,Buenos Aires,"70,00"
145,145,2021,2,Capital Federal,"110,14"
146,146,2021,2,Catamarca,"52,34"
147,147,2021,2,Chaco,"43,33"
148,148,2021,2,Chubut,"72,29"
149,149,2021,2,Córdoba,"80,12"
150,150,2021,2,Corrientes,"43,54"
151,151,2021,2,Entre Ríos,"61,66"
152,152,2021,2,Formosa,"33,23"
153,153,2021,2,Jujuy,"56,18"
154,154,2021,2,La Pampa,"82,08"
155,155,2021,2,La Rioja,"76,98"
156,156,2021,2,Mendoza,"40,97"
157,157,2021,2,Misiones,"45,01"
158,158,2021,2,Neuquén,"69,14"
159,159,2021,2,Río Negro,"61,94"
160,160,2021,2,Salta,"54,93"
161,161,2021,2,San Juan,"39,28"
162,162,2021,2,San Luis,"83,48"
163,163,2021,2,Santa Cruz,"44,01"
164,164,2021,2,Santa Fe,"75,07"
165,165,2021,2,Santiago Del Estero,"46,56"
166,166,2021,2,Tierra Del Fuego,"67,89"
167,167,2021,2,Tucumán,"54,93"
