Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Total Conexiones,Porcentaje Fibra Óptica
CORDOBA,Calamuchita,Amboy,14007010,,,,,,,,19.0,19,19.0,
CORDOBA,Calamuchita,Cañada del Sauce,14007030,1.0,,,,,,,,1,1.0,
CORDOBA,Calamuchita,Capilla Vieja,14007040,,,,,,,,5.0,5,5.0,
CORDOBA,Calamuchita,El Corcovado - El Torreón,14007050,52.0,,,,,,,30.0,82,82.0,
CORDOBA,Calamuchita,Embalse,14007060,,,,,,1.0,,,"3,48",1.0,
CORDOBA,Calamuchita,La Cruz,14007070,10.0,,,,,,,383.0,393,393.0,
CORDOBA,Calamuchita,La Cumbrecita,14007080,,,,,,,,250.0,250,250.0,
CORDOBA,Calamuchita,Las Bajadas,14007090,,,,,,,,28.0,28,28.0,
CORDOBA,Calamuchita,Los Cóndores,14007110,423.0,,,,,1.0,,516.0,940,940.0,
CORDOBA,Calamuchita,Los Molinos,14007120,,,,,,,,44.0,44,44.0,
CORDOBA,Calamuchita,Los Reartes,14007130,29.0,,,490.0,,1.0,,456.0,976,976.0,50.204918032786885
CORDOBA,Calamuchita,Parque Calmayo,14007160,,,,,,,,36.0,36,36.0,
CORDOBA,Calamuchita,San Agustín,14007180,110.0,,,,,,,1.0,111,111.0,
CORDOBA,Calamuchita,San Ignacio (Loteo San Javier),14007190,,,,,,,,11.0,11,11.0,
CORDOBA,Calamuchita,Santa Rosa de Calamuchita,14007210,,,,194.0,,,,,"6,05",194.0,100.0
CORDOBA,Calamuchita,Villa Alpina,14007240,,,,,,,,2.0,2,2.0,
CORDOBA,Calamuchita,Villa Amancay,14007250,,,,,,,,39.0,39,39.0,
CORDOBA,Calamuchita,Villa Berna,14007260,31.0,,,,,,,6.0,37,37.0,
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (1a. Sección),14007270,,,,,,,,252.0,252,252.0,
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (3a. Sección),14007170,,,,,,,,8.0,8,8.0,
CORDOBA,Calamuchita,Villa del Dique,14007290,555.0,,,256.0,128.0,,,947.0,"1,89",1886.0,13.57370095440085
CORDOBA,Calamuchita,Villa General Belgrano,14007310,,31.0,,,,1.0,,,"1,1",32.0,
CORDOBA,Calamuchita,Villa Quillinzo,14007330,,,,,,,,124.0,124,124.0,
