Unnamed: 0,Año,Trimestre,Provincia,Velocidad_Media,Objetivo_KPI
0,2022,4,Buenos Aires,111.0,2813.7500000000005
1,2022,4,Capital Federal,18.286,380.00750000000005
2,2022,4,Catamarca,8.333,118.74125000000002
3,2022,4,Chaco,10.402,173.0525
4,2022,4,Chubut,1.592,-58.209999999999994
5,2022,4,Córdoba,10.877,185.52125000000004
6,2022,4,Corrientes,9.472,148.64000000000001
7,2022,4,Entre Ríos,8.747,129.60875000000001
8,2022,4,Formosa,7.203,89.07875000000001
9,2022,4,Jujuy,3.932,3.2150000000000123
10,2022,4,La Pampa,191.0,4913.75
11,2022,4,La Rioja,61.0,1501.25
12,2022,4,Mendoza,3.876,1.7449999999999966
13,2022,4,Misiones,9.124,139.50500000000002
14,2022,4,Neuquén,9.537,150.34625000000003
15,2022,4,Río Negro,7.531,97.68874999999998
16,2022,4,Salta,7.593,99.31625000000001
17,2022,4,San Juan,1.639,-56.97624999999999
18,2022,4,San Luis,3.067,-19.491249999999994
19,2022,4,Santa Cruz,1.433,-62.383750000000006
20,2022,4,Santa Fe,903.0,23603.750000000004
21,2022,4,Santiago Del Estero,344.0,8930.0
22,2022,4,Tierra Del Fuego,1.348,-64.615
23,2022,4,Tucumán,8.833,131.86625000000004
24,2022,3,Buenos Aires,7.019,145.665
25,2022,3,Capital Federal,10.105,253.675
26,2022,3,Catamarca,6.099,113.46500000000003
27,2022,3,Chaco,5.321,86.23499999999999
28,2022,3,Chubut,1.557,-45.505
29,2022,3,Córdoba,5.632,97.11999999999999
30,2022,3,Corrientes,4.507,57.74500000000001
31,2022,3,Entre Ríos,4.249,48.715
32,2022,3,Formosa,3.035,6.225000000000014
33,2022,3,Jujuy,3.243,13.504999999999997
34,2022,3,La Pampa,1.81,-36.65
35,2022,3,La Rioja,4.43,55.04999999999999
36,2022,3,Mendoza,3.416,19.56000000000001
37,2022,3,Misiones,4.93,72.55
38,2022,3,Neuquén,4.781,67.33499999999998
39,2022,3,Río Negro,3.413,19.455
40,2022,3,Salta,4.133,44.654999999999994
41,2022,3,San Juan,1.584,-44.559999999999995
42,2022,3,San Luis,1.933,-32.345
43,2022,3,Santa Cruz,1.26,-55.89999999999999
44,2022,3,Santa Fe,4.515,58.025000000000006
45,2022,3,Santiago Del Estero,1.769,-38.084999999999994
46,2022,3,Tierra Del Fuego,1.101,-61.465
47,2022,3,Tucumán,5.336,86.76
48,2022,2,Buenos Aires,655.0,34287.5
49,2022,2,Capital Federal,9.397,393.3425000000001
50,2022,2,Catamarca,5.656,196.93999999999997
51,2022,2,Chaco,5.061,165.7025
52,2022,2,Chubut,1.491,-21.72249999999999
53,2022,2,Córdoba,5.351,180.9275
54,2022,2,Corrientes,4.331,127.37750000000001
55,2022,2,Entre Ríos,4.003,110.1575
56,2022,2,Formosa,2.847,49.4675
57,2022,2,Jujuy,2.939,54.2975
58,2022,2,La Pampa,1.607,-15.632499999999993
59,2022,2,La Rioja,4.328,127.22000000000003
60,2022,2,Mendoza,2.972,56.03
61,2022,2,Misiones,4.623,142.70750000000004
62,2022,2,Neuquén,4.653,144.2825
63,2022,2,Río Negro,3.326,74.61500000000001
64,2022,2,Salta,3.877,103.5425
65,2022,2,San Juan,1.444,-24.19
66,2022,2,San Luis,1.932,1.429999999999998
67,2022,2,Santa Cruz,1.181,-37.997499999999995
68,2022,2,Santa Fe,4.201,120.55249999999998
69,2022,2,Santiago Del Estero,1.634,-14.215
70,2022,2,Tierra Del Fuego,1.097,-42.4075
71,2022,2,Tucumán,5.009,162.9725
72,2022,1,Buenos Aires,6.251,556.355
73,2022,1,Capital Federal,8.822,826.31
74,2022,1,Catamarca,5.122,437.81
75,2022,1,Chaco,4.584,381.32
76,2022,1,Chubut,1.34,40.700000000000024
77,2022,1,Córdoba,4.989,423.845
78,2022,1,Corrientes,3.811,300.155
79,2022,1,Entre Ríos,3.559,273.69500000000005
80,2022,1,Formosa,3.028,217.94000000000003
81,2022,1,Jujuy,2.769,190.74500000000003
82,2022,1,La Pampa,1.484,55.82
83,2022,1,La Rioja,4.137,334.385
84,2022,1,Mendoza,2.62,175.10000000000002
85,2022,1,Misiones,4.187,339.6350000000001
86,2022,1,Neuquén,4.305,352.025
87,2022,1,Río Negro,3.109,226.445
88,2022,1,Salta,3.671,285.45500000000004
89,2022,1,San Juan,1.199,25.895000000000003
90,2022,1,San Luis,2.095,119.97500000000004
91,2022,1,Santa Cruz,1.089,14.345000000000008
92,2022,1,Santa Fe,3.889,308.345
93,2022,1,Santiago Del Estero,1.45,52.25
94,2022,1,Tierra Del Fuego,1.073,12.664999999999992
95,2022,1,Tucumán,4.724,396.02000000000004
96,2021,4,Buenos Aires,6.021,58.051249999999996
97,2021,4,Capital Federal,8.295,117.74374999999999
98,2021,4,Catamarca,4.638,21.74750000000001
99,2021,4,Chaco,4.234,11.14250000000001
100,2021,4,Chubut,908.0,23735.000000000004
101,2021,4,Córdoba,4.636,21.694999999999997
102,2021,4,Corrientes,3.577,-6.103749999999996
103,2021,4,Entre Ríos,3.332,-12.534999999999997
104,2021,4,Formosa,2.876,-24.505
105,2021,4,Jujuy,2.714,-28.757500000000004
106,2021,4,La Pampa,1.385,-63.64375
107,2021,4,La Rioja,3.97,4.212500000000019
108,2021,4,Mendoza,2.223,-41.646249999999995
109,2021,4,Misiones,3.89,2.112500000000006
110,2021,4,Neuquén,4.009,5.236250000000009
111,2021,4,Río Negro,2.72,-28.59999999999999
112,2021,4,Salta,3.394,-10.907499999999992
113,2021,4,San Juan,1.105,-70.99375
114,2021,4,San Luis,2.091,-45.11124999999999
115,2021,4,Santa Cruz,899.0,23498.75
116,2021,4,Santa Fe,3.602,-5.4474999999999945
117,2021,4,Santiago Del Estero,1.384,-63.67
118,2021,4,Tierra Del Fuego,1.07,-71.9125
119,2021,4,Tucumán,4.515,18.518750000000004
120,2021,3,Buenos Aires,5.626,96.91000000000001
121,2021,3,Capital Federal,7.771,171.98499999999999
122,2021,3,Catamarca,4.343,52.005
